id,title,end,entity_group,score,start,word
1,Kenia-Koalition in Sachsen: Rechte Agenda hinter sozialen und grünen Phrasen,8.0,MISC,0.9280253648757935,0.0,Kenia-Ko
1,Kenia-Koalition in Sachsen: Rechte Agenda hinter sozialen und grünen Phrasen,26.0,LOC,0.9923856258392334,19.0,Sachsen
7,Das neoliberale Aktivierungs- und Arbeitszwangregime der EU-Kommission,70.0,ORG,0.9995308518409729,57.0,EU-Kommission
8,Warum mir das Wort „Europa“ schon bei den Ohren herauskommt,26.0,LOC,0.9997890591621399,20.0,Europa
9,Erdoğans Flüchtlingswaffe: Wie der Wertewesten Flüchtlinge produziert,7.0,PER,0.9990243911743164,0.0,Erdoğan
9,Erdoğans Flüchtlingswaffe: Wie der Wertewesten Flüchtlinge produziert,39.0,LOC,0.917430579662323,35.0,Wert
9,Erdoğans Flüchtlingswaffe: Wie der Wertewesten Flüchtlinge produziert,44.0,LOC,0.9970623850822449,40.0,west
11,Holger Balodis und Dagmar Hühne: Renten-Fake News demaskiert,14.0,PER,0.9999886155128479,0.0,Holger Balodis
11,Holger Balodis und Dagmar Hühne: Renten-Fake News demaskiert,31.0,PER,0.9997246861457825,19.0,Dagmar Hühne
13,Die 7 Jahre der Lügen über Julian Assange werden jetzt nicht aufhören.,40.0,PER,0.9999163746833801,27.0,Julian Assang
14,Abgewirtschaftet: Eine zunehmend unbeliebte NATO wird 70,48.0,ORG,0.9999110698699951,44.0,NATO
15,AfD-Parteitag stärkt völkischen „Flügel“,4.0,MISC,0.9984331727027893,0.0,AfD-
16,Lizenz zur Ausbeutung von Arbeitskräften: Verlängerung der Westbalkanregelung,74.0,MISC,0.999434232711792,59.0,Westbalkanregel
20,Syrien – Strudel der Stabilität,6.0,LOC,0.9996333122253418,0.0,Syrien
21,Zum Zustand der ARD. Das Framing Manual.,19.0,ORG,0.9983738660812378,16.0,ARD
22,Chemnitz: Ein politisch motiviertes Urteil,8.0,LOC,0.9999580383300781,0.0,Chemnitz
23,Die Chinesische Bedrohung: Geht es bei den Protesten in Hongkong nur um politische Themen?,10.0,MISC,0.9998789429664612,4.0,Chines
23,Die Chinesische Bedrohung: Geht es bei den Protesten in Hongkong nur um politische Themen?,64.0,LOC,0.9998646974563599,56.0,Hongkong
