id,title,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
1, [START] Kenia-Ko [END] alition in Sachsen: Rechte Agenda hinter sozialen und grünen Phrasen,8.0,MISC,0.9280253648757936,0.0,Kenia-Ko,Kenia,de,-0.3913491666316986,Q114
1,Kenia-Koalition in  [START] Sachsen [END] : Rechte Agenda hinter sozialen und grünen Phrasen,26.0,LOC,0.9923856258392334,19.0,Sachsen,Sachsen,de,-0.09513302147388458,Q1202
7,Das neoliberale Aktivierungs- und Arbeitszwangregime der  [START] EU-Kommission [END] ,70.0,ORG,0.9995308518409728,57.0,EU-Kommission,Europäische Kommission,de,-0.08606088161468506,Q8880
8,Warum mir das Wort „ [START] Europa [END] “ schon bei den Ohren herauskommt,26.0,LOC,0.99978905916214,20.0,Europa,Europa,de,-0.11722135543823242,Q46
9, [START] Erdoğan [END] s Flüchtlingswaffe: Wie der Wertewesten Flüchtlinge produziert,7.0,PER,0.9990243911743164,0.0,Erdoğan,Recep Tayyip Erdoğan,de,-0.1035139262676239,Q39259
9,Erdoğans Flüchtlingswaffe: Wie der  [START] Wert [END] ewesten Flüchtlinge produziert,39.0,LOC,0.917430579662323,35.0,Wert,Wert (Wirtschaft),de,-0.21482332050800323,Q868257
9,Erdoğans Flüchtlingswaffe: Wie der Werte [START] west [END] en Flüchtlinge produziert,44.0,LOC,0.9970623850822448,40.0,west,West,de,-0.10344339907169342,Q679
11, [START] Holger Balodis [END]  und Dagmar Hühne: Renten-Fake News demaskiert,14.0,PER,0.999988615512848,0.0,Holger Balodis,Holger Balodis,de,-0.07282156497240067,Q42846804
11,Holger Balodis und  [START] Dagmar Hühne [END] : Renten-Fake News demaskiert,31.0,PER,0.9997246861457824,19.0,Dagmar Hühne,Dagmar Hühne,de,-0.08685807138681412,Q42846804
13,Die 7 Jahre der Lügen über  [START] Julian Assang [END] e werden jetzt nicht aufhören.,40.0,PER,0.99991637468338,27.0,Julian Assang,Julian Assange,de,-1.5839446783065796,Q360
14,Abgewirtschaftet: Eine zunehmend unbeliebte  [START] NATO [END]  wird 70,48.0,ORG,0.9999110698699952,44.0,NATO,NATO,de,-0.09554941952228546,Q7184
15, [START] AfD- [END] Parteitag stärkt völkischen „Flügel“,4.0,MISC,0.9984331727027892,0.0,AfD-,Alternative für Deutschland,de,-0.0895720049738884,Q6721203
16,Lizenz zur Ausbeutung von Arbeitskräften: Verlängerung der  [START] Westbalkanregel [END] ung,74.0,MISC,0.999434232711792,59.0,Westbalkanregel,Westbalkan,de,-0.7826309204101562,Q476386
20, [START] Syrien [END]  – Strudel der Stabilität,6.0,LOC,0.9996333122253418,0.0,Syrien,Syrien,de,-0.1068928986787796,Q858
21,Zum Zustand der  [START] ARD [END] . Das Framing Manual.,19.0,ORG,0.9983738660812378,16.0,ARD,ARD,de,-0.16951557993888855,Q49653
22, [START] Chemnitz [END] : Ein politisch motiviertes Urteil,8.0,LOC,0.999958038330078,0.0,Chemnitz,Chemnitz,de,-0.10289907455444336,Q2795
23,Die  [START] Chines [END] ische Bedrohung: Geht es bei den Protesten in Hongkong nur um politische Themen?,10.0,MISC,0.9998789429664612,4.0,Chines,Volksrepublik China,de,-0.1815595179796219,Q148
23,Die Chinesische Bedrohung: Geht es bei den Protesten in  [START] Hongkong [END]  nur um politische Themen?,64.0,LOC,0.99986469745636,56.0,Hongkong,Hongkong,de,-0.09033885598182678,Q8646
24,Freitodbegleitungen in der  [START] Schweiz [END]  1999-2018,34.0,LOC,0.9992098808288574,27.0,Schweiz,Schweiz,de,-0.09867309778928757,Q39
27, [START] Götz Kubitschek [END]  und das Institut für Staatspolitik,15.0,PER,0.9999815225601196,0.0,Götz Kubitschek,Götz Kubitschek,de,-0.07946470379829407,Q1559892
